1,1,自分の頭で考え、常に冷静である,thinker,3,1
2,1,芯があり、努力家である,pasi,3,2
3,1,共感力が高く、温厚である,hamo,3,3
4,1,一人を好み、物静かで控えめである,ima,3,4
5,1,好き嫌いがはっきりしており、楽しい事が大好きである,revel,3,5
6,1,行動力があり、一匹狼である,pro,3,6
7,2,個人の意見や感想よりも、事実やお互いの考えをやり取りしたい,thinker,3,7
8,2,お互いの意見や、価値観、心に秘めた熱い思いを語り合いたい,pasi,3,8
9,2,お互いが気遣いや思いやりを大切にし、落ち着ける雰囲気の中、たわいのない会話をしたい,hamo,3,9
10,2,たくさん会話をするよりも、なるべく口数は少なく、自分の時間や空間を大事にしたい,ima,3,10
11,2,冗談を言い合ったり、ノリが合うなど楽しさが大事である,revel,3,11
12,2,儲け話や普通では聞けないような特別な話を好む,pro,3,12
13,3,目標を達成することが重要であり、そのためには無駄な時間や、コストは抑え、効率よく生きたい,thinker,3,13
14,3,自分の与えられた使命や、やりがいを重んじ、世のため、人のためになる生き方をしたい,pasi,3,14
15,3,家族や友人との人間関係を大切にし、周りの人と仲良く暮らしたい,hamo,3,15
16,3,自分自身の時間や空間を大切にし、平穏な生活をしたい,ima,3,16
17,3,好きな物や、好きなことに囲まれて楽しく暮らしたい,revel,3,17
18,3,常に新しい挑戦を繰り返し、でかいチャンスを掴みたい,pro,3,18