1,1,事前に情報収集をしっかり行い、計画的に仕事を進める,thinker,1
2,1,メンバー同士が価値観や使命感を共有し、志を持って仕事に取り組む,pasi,2
3,1,メンバー全員が仲良く、人間関係を第一優先にしている,hamo,3
4,1,明確な指示を出し合い、メンバー一人一人が自分のペースで仕事をしている,ima,4
5,1,楽しさに重きを置き、クリエイティブな仕事ができること,revel,5
6,1,緻密な計画よりも、まずは行動を起こし、実行しながら修正を行っていく,pro,6
7,2,種類などが整理整頓されており、欲しい情報や資料がすぐ手に取れるようになっている,thinker,7
8,2,誰もが目に止まるところに、社訓や理念が書かれている,pasi,8
9,2,観葉植物や色合いが綺麗な小物など、温かみのあるオフィスになっている,hamo,9
10,2,自分のデスク周りなどは仕切りや個室があり、自分の空間がしっかり確保されいる,ima,10
11,2,自分の席など決まりがなく、自由な場所で仕事ができる,revel,11
12,2,メンバーは外出していることが多く、社内か比較的無機質である,pro,12
13,3,お互いの有益な情報を交換し合う,thinker,13
14,3,お互いの意見や価値観を語り合う,pasi,14
15,3,たわいのない家族の話や、プライベートな会話が多い,hamo,15
16,3,一人一人の空間を大事にしており、会話は多くない,ima,16
17,3,ユーモアに飛んだ、冗談などが多い,revel,17
18,3,お互いにとって特になる話や、チャンスに繋がる話が多い,pro,18
19,4,事前に情報収集し、目標から逆算し計画を立て、それをきちっとこなすこと,thinker,19
20,4,厳しい状況でも粘り強く諦めない努力ができる人,pasi,20
21,4,他者を傷つけることなく、周りとも調和を作り出せる人,hamo,21
22,4,単調な仕事を飽きることなく、黙々とこなせる人,ima,22
23,4,過去の判例やきまりに縛られることがなく、全く新しいアイデアを生み出せる人,revel,23
24,4,普通の人が臆してしまうような状況も、怖がらず即行動を起こせる人,pro,24
25,5,ロジカルに物事を考えれる人,thinker,25
26,5,信念を持ち、粘り強い努力ができる人,pasi,26
27,5,共感力が高く、人間関係を第一優先で考えれる人,hamo,27
28,5,穏やか、物静かで物事を深く考えれる人,ima,28
29,5,クリエイティブな発想ができる人,revel,29
30,5,考えるより先に行動ができる人,pro,30